city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
pisco,0,PE,1551459600,30,-13.71,-76.2,71.6,10.29
caravelas,20,BR,1551461378,99,-17.73,-39.27,84.31,18.05
ojinaga,1,US,1551460612,18,29.56,-104.41,73.99,5.82
nabire,92,ID,1551461378,98,-3.36,135.5,67.16,1.83
malabo,24,CD,1551461379,89,1.56,30.43,63.74,2.73
tessalit,0,ML,1551461379,21,20.2,1.01,69.14,11.34
port blair,0,IN,1551461157,100,11.67,92.75,82.37,8.43
harlingen,90,US,1551461334,82,26.19,-97.7,71.6,6.93
cherskiy,88,RU,1551461380,69,68.75,161.3,-5.74,10.78
guanhaes,32,BR,1551461099,71,-18.77,-42.93,80.57,3.06
barcelos,75,PT,1551461224,87,41.53,-8.62,57.99,8.05
sao geraldo do araguaia,80,BR,1551461384,88,-6.4,-48.55,80.66,3.96
hrodna,48,BY,1551461384,59,53.68,23.83,26.3,13.47
oranjestad,20,AW,1551459600,62,12.52,-70.03,84.2,26.4
uyskoye,56,RU,1551461385,89,54.37,60.01,23.33,12.68
gizo,20,IL,1551461297,71,31.8,34.94,59.0,4.7
pangnirtung,75,CA,1551459600,76,66.15,-65.72,-9.41,8.05
kargil,76,PK,1551461386,75,34.56,76.13,0.65,1.39
keetmanshoop,0,NA,1551459600,11,-26.57,18.15,95.0,9.17
vila franca do campo,40,PT,1551457800,82,37.72,-25.43,62.6,12.75
katherine,68,AU,1551459600,78,-14.47,132.26,77.0,3.36
hovd,75,NO,1551461363,80,63.83,10.7,37.0,12.75
noumea,92,NC,1551459600,88,-22.28,166.46,73.4,3.36
kutum,0,SD,1551461388,23,14.2,24.66,71.39,10.11
pontes e lacerda,32,BR,1551461388,78,-15.23,-59.33,85.07,7.65
juybar,75,IR,1551459600,93,36.64,52.91,48.2,3.85
bakel,0,SN,1551461389,15,14.9,-12.46,84.13,13.47
guerrero negro,8,MX,1551461349,75,27.97,-114.04,66.35,10.33
werda,75,DE,1551461365,93,50.44,12.3,46.0,4.7
paramonga,48,PE,1551461390,97,-10.68,-77.82,73.78,11.23
limon,1,US,1551461244,49,39.26,-103.69,50.0,8.05
lyuban,8,BY,1551461390,66,52.8,28.0,22.07,14.58
margate,0,AU,1551461240,46,-43.03,147.26,73.4,8.05
koungheul,0,SN,1551461391,16,13.98,-14.8,87.01,12.68
haliyal,0,IN,1551461391,50,15.33,74.76,62.8,3.18
sinnamary,76,GF,1551461391,88,5.38,-52.96,81.16,11.01
baykit,68,RU,1551461392,82,61.68,96.39,13.21,2.73
abnub,0,EG,1551459600,41,27.27,31.15,59.0,13.87
kiruna,90,SE,1551459000,85,67.86,20.23,23.0,3.36
leningradskiy,0,RU,1551461392,72,69.38,178.42,20.5,23.09
kuching,75,MY,1551459600,94,1.56,110.34,77.0,1.12
yumen,0,CN,1551461393,59,40.29,97.04,19.64,7.87
belaya gora,0,RU,1551461393,0,68.54,146.19,-32.11,2.95
devils lake,90,US,1551460500,78,48.11,-98.87,10.4,4.7
broome,40,GB,1551461374,75,52.47,1.45,48.99,4.7
karasjok,0,NO,1551459000,92,69.47,25.52,5.0,3.36
pitiquito,12,MX,1551461119,42,30.68,-112.05,73.99,4.63
inhambane,20,MZ,1551459600,69,-23.87,35.38,84.0,8.66
suwannaphum,56,TH,1551459600,74,15.61,103.81,78.8,7.31
deputatskiy,36,RU,1551461395,0,69.3,139.9,-29.01,2.73
yinchuan,20,CN,1551461396,78,38.48,106.21,27.2,3.74
kirakira,0,SB,1551461396,100,-10.46,161.92,82.46,3.74
opuwo,88,NA,1551461173,82,-18.06,13.84,68.83,2.39
buta,32,CD,1551461396,85,2.79,24.73,75.53,2.06
san patricio,0,PY,1551461397,46,-26.98,-56.83,85.3,3.29
kachug,48,RU,1551461397,63,53.96,105.89,6.91,2.39
bukachacha,0,RU,1551461397,66,52.99,116.91,8.39,2.39
nouakchott,0,MR,1551459600,7,18.08,-15.98,84.2,21.92
dingle,0,PH,1551461398,76,11.0,122.67,73.73,12.24
tarnogskiy gorodok,48,RU,1551461398,61,60.5,43.58,3.71,6.42
ampanihy,88,MG,1551461399,96,-24.69,44.75,72.38,6.98
nioro,0,GM,1551461399,16,13.79,-15.05,87.01,12.68
pinjaur,32,IN,1551461399,79,30.8,76.92,47.9,1.5
san cristobal,75,EC,1551459600,43,-0.39,-78.55,69.8,6.93
ipixuna,75,BR,1551459600,94,-1.76,-48.8,75.2,5.82
dmytrivka,80,UA,1551461100,72,50.46,30.17,34.0,15.66
batagay-alyta,20,RU,1551461401,0,67.8,130.41,-25.86,2.73
arvika,0,SE,1551460899,69,59.65,12.59,35.6,4.7
linjiang,0,CN,1551461408,50,41.81,126.91,6.77,2.95
honningsvag,40,NO,1551459000,85,70.98,25.97,17.6,5.82
kikwit,64,CD,1551461419,80,-5.04,18.82,78.77,7.43
poland,1,US,1551461420,46,44.06,-70.39,36.0,13.87
ahipara,0,NZ,1551460794,100,-35.17,173.16,57.99,9.1
mocuba,76,MZ,1551461424,66,-16.84,36.99,82.73,7.65
yulara,0,AU,1551459600,21,-25.24,130.99,80.6,5.82
